Country Rank,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,diff_whisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,GDPRatio,Explained by: Social support,SocialRatio,Explained by: Healthy life expectancy,LifeExpectancyRatio,Explained by: Freedom to make life choices,FreedomRatio,Explained by: Generosity,GenerosityRatio,Explained by: Perceptions of corruption,CorruptionRatio,Dystopia + residual,(D+R) Ratio,Residual (+/-),Life Ladder 2018,Positive Affect 2018,Negative Affect 2018,Std. Dev. of Ladder Score 2018,"Gini of Household income reported in Gallup, by wp5-year 2018","GINI index (World Bank estimate), avg. 2000-16",Confidence in National Government 2018 ,Ladder score change from 2008-2012,Years missing from data set ,Total sample size 2017-2019,Most Recent Mode,Sample size 2019,Sample size 2018,Sample size 2017,Mode of interview 2019,Mode of interview 2018,Mode of interview 2017,Boolean Mode Change,Languages of interview 2019,Languages of interview 2018,Langauges of interview 2017,Avg. % of excluded population,% of excluded population 2019,% of excluded population 2018,% of excluded population 2018,Non-numeric exclusions,Notes 2019,Notes 2018,Notes 2017,2016 Suicide Rate (Both Genders),Notes on Suicide Data,"Mortality rate due to homicide (per 100,000 population) 2017",Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE)z (%) 2017,Age-standardized prevalence of raised blood pressure among persons aged 18+ yearsaj (SBP of >140 mmHg and/or DBP >90 mmHg) 2015
11,Canada,North America and ANZ,7.23210001,0.04040546,7.311294556,0.158389092,7.152905464,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,1.972316742,1.301647663,0.179981978,1.435391903,0.198475118,1.022501945,0.141383823,0.644028127,0.08905133,0.28152892,0.038927686,0.351701856,0.048630668,2.195269108,0.30354518,0.222952366,7.175497,0.823669,0.259398,1.764457,0.465442,0.3368,0.610467,-0.248027802,0,3045,Landline and Mobile Telephone,1031,1009,1005,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,"English, French ","English, French ","English, French ",0,,,,,,,,12.5,,1.8,19.3,13.2
12,Australia,North America and ANZ,7.222799778,0.041841116,7.30480814,0.164016724,7.140791416,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,1.972316742,1.310396433,0.181424998,1.477146268,0.20451159,1.022607684,0.141580511,0.621877193,0.086099188,0.324973613,0.044992748,0.335996419,0.046518861,2.129804134,0.29487238,0.157487392,7.176993,0.759019,0.187456,1.750283,0.429814,0.34275,0.468837,-0.103420734,0,3051,Landline and Mobile Telephone,1047,1001,1003,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,English,English,English,0,,,,,,,,13.2,,1,17.8,15.2
13,United Kingdom,Western Europe,7.164500237,0.037161909,7.237337589,0.145674705,7.091662884,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,1.972316742,1.273061037,0.177690138,1.457844973,0.20348174,0.97570008,0.136185365,0.525168657,0.073301506,0.373433441,0.052122748,0.322601646,0.045027795,2.236721992,0.31219512,0.26440525,7.233445,0.783172,0.228276,1.69895,0.417473,0.341083,0.42086,0.276983261,0,3025,Landline and Mobile Telephone,1025,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,English,English,English,0,,,,,,,,8.9,,1.5,18.7,15.2
14,Israel,Middle East and North Africa,7.128600121,0.042515181,7.211929798,0.166659355,7.045270443,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,1.972316742,1.216463685,0.170645521,1.403256774,0.196848855,1.008052945,0.141409664,0.420699477,0.059015721,0.266861796,0.037435372,0.09989845,0.014013754,2.713358402,0.38062991,0.74104166,6.927179,0.66349,0.282063,1.734907,0.261862,0.4112,0.42233,-0.17511797,0,3105,Face-to-Face,1095,1010,1000,Face-to-Face,Face-to-Face,Face-to-Face,,"Hebrew, Russian, Arabic ","Hebrew, Russian, Arabic ","Hebrew, Russian, Arabic ",0,,,,,The sample does not include the area of East Jerusalem. This area included in the sample of Palestinian Territories.,The sample does not include the area of East Jerusalem. This area included in the sample of Palestinian Territories.,The sample does not include the area of East Jerusalem. This area included in the sample of Palestinian Territories.,5.4,,1.5,11.9,16.6
15,Costa Rica,Latin America and Caribbean,7.121399879,0.044816118,7.209239483,0.175679207,7.033560276,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428,1.972316742,0.981107712,0.13776894,1.374853611,0.193059459,0.939635336,0.131945313,0.645017743,0.090574572,0.131266311,0.018432656,0.096362092,0.013531341,2.953135014,0.41468462,0.980818272,7.141075,0.870098,0.325867,2.14597,0.786517,0.490882,0.479978,-0.126995087,0,3000,Face-to-Face (HH)*,1000,1000,1000,Face-to-Face (HH)*,Face-to-Face (HH)*,Face-to-Face (HH)*,,Spanish,Spanish,Spanish,0,,,,,,,,7.9,,12.2,26.9,18.7
16,Ireland,Western Europe,7.093699932,0.039863452,7.171832085,0.156264305,7.01556778,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,1.972316742,1.446886778,0.203967858,1.470596433,0.207310211,0.975670695,0.137540452,0.587779939,0.082859431,0.295426995,0.04164639,0.373433262,0.052642946,1.943878174,0.27402881,-0.028438568,6.962336,0.810857,0.21305,1.863788,0.366411,0.326154,0.618405,-0.088851452,0,3025,Landline and Mobile Telephone,1025,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,English,English,English,0,,,,,,,,11.5,,0.9,20,19.7
17,Germany,Western Europe,7.075799942,0.035609804,7.145595074,0.139590264,7.00600481,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,1.972316742,1.314184546,0.185729466,1.368543744,0.193411876,0.972114801,0.137385852,0.564274132,0.079747044,0.252037704,0.035619676,0.309362292,0.043721176,2.295249462,0.32438021,0.32293272,7.118364,0.78028,0.243215,1.623589,0.283513,0.306222,0.592991,0.422133923,0,3025,Landline and Mobile Telephone,1025,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,German,German,German,0,,,,,,,,13.6,,1,19.9,19.9
18,United States,North America and ANZ,6.939599991,0.047316168,7.032339573,0.185479164,6.846860409,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,1.972316742,1.37398684,0.197992225,1.404786706,0.202430501,0.831618011,0.119836592,0.534608245,0.077037329,0.298143059,0.042962571,0.152284741,0.021944311,2.344124794,0.33778961,0.371808052,6.882685,0.815383,0.292226,2.119374,0.701418,0.408167,0.313816,-0.187425613,0,3043,Landline and Mobile Telephone,1026,1004,1013,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,"English, Spanish ","English, Spanish ","English, Spanish ",0,,,,,,,,15.3,,6.3,22.5,12.9
19,Czech Republic,Central and Eastern Europe,6.910900116,0.042891297,6.994966984,0.168133736,6.826833248,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,1.972316742,1.212322354,0.175421773,1.40528667,0.203343508,0.89456445,0.129442538,0.505744576,0.07318071,0.046325929,0.006703313,0.049803223,0.007206474,2.796808243,0.40469522,0.824491501,7.034165,0.7137,0.178068,1.674934,0.254286,0.264167,0.420783,0.620377064,1,2000,Face-to-Face (HH)*,0,1000,1000,,Face-to-Face (HH)*,Face-to-Face (HH)*,,,Czech,Czech,0,,,,,,,,13.1,,0.7,15.2,27.9
20,Belgium,Western Europe,6.863500118,0.034370355,6.930866241,0.134732246,6.796133995,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,1.972316742,1.295842767,0.188802032,1.398677588,0.203784886,0.964901149,0.140584415,0.499805421,0.072820778,0.146966159,0.021412713,0.208724052,0.03041073,2.348626614,0.3421908,0.376309872,6.892172,0.749563,0.250297,1.548091,0.299525,0.284308,0.441945,-0.140722275,0,3037,Landline and Mobile Telephone,1025,1011,1001,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,"French, Dutch ","French, Dutch ","French, Dutch ",0,,,,,,,,20.7,,1.4,15.3,17.5
21,United Arab Emirates,Middle East and North Africa,6.790800095,0.040698379,6.870568752,0.159537315,6.711031437,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,1.972316742,1.431086421,0.210739,1.251170993,0.184245004,0.787814438,0.11601202,0.652936101,0.096150099,0.28065598,0.041328853,0.220213518,0.032428214,2.166965961,0.31910319,0.194649219,6.603744,0.787243,0.302042,2.214762,0.721079,,,-0.28381443,0,5125,Landline and Mobile Telephone,1413,1857,1855,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,"Arabic, English ","Arabic, English ","Arabic, English ",0,,,,Langauge,"Includes only Emiratis, Arab expatriates and non Arabs who were able to complete the interview in Arabic or English ","Includes only Emiratis, Arab expatriates and non Arabs who were able to complete the interview in Arabic or English ","Includes only Emiratis, Arab expatriates and non Arabs who were able to complete the interview in Arabic or English ",2.8,,0.7,7.9,21.1
22,Malta,Western Europe,6.772799969,0.042958103,6.856997967,0.168395996,6.688601971,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282,1.972316742,1.252513289,0.184932863,1.442956924,0.213051756,0.972042024,0.143521443,0.633239031,0.093497377,0.341180831,0.050375152,0.178864077,0.026409178,1.952012062,0.28821345,-0.02030468,6.909711,0.721224,0.295699,1.81986,0.385407,0.2911,0.757714,0.756295204,0,3041,Landline and Mobile Telephone,1027,1010,1004,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,"Maltese, English ","Maltese, English ","Maltese, English ",0,,,,,,,,7.5,,0.9,16.5,19.4
23,France,Western Europe,6.663799763,0.037576791,6.737450123,0.14730072,6.590149403,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,1.972316742,1.268129349,0.190301239,1.458839178,0.21892002,1.029714227,0.154523585,0.514050901,0.077140808,0.112607703,0.016898422,0.227303237,0.034110154,2.053198338,0.30811225,0.080881596,6.665904,0.767313,0.282451,1.599049,0.360966,0.320923,0.380547,-0.061126232,0,3025,Landline and Mobile Telephone,1025,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,French,French,French,0,,,,,,,,17.7,,1.3,15.5,22
24,Mexico,Latin America and Caribbean,6.465000153,0.048122469,6.559319973,0.188639641,6.370680332,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,1.972316742,1.024387479,0.158451269,1.226333499,0.189688085,0.831601024,0.128631246,0.553892553,0.085675567,0.083094485,0.012852975,0.083133668,0.012859036,2.662540197,0.41183915,0.690223455,6.549579,0.881713,0.213254,2.32633,0.456425,0.4698,0.294568,-0.558391094,0,3035,Face-to-Face (HH)*,1001,1034,1000,Face-to-Face (HH)*,Face-to-Face (HH)*,Face-to-Face,Y,Spanish,Spanish,Spanish,0,,,,,,,,5.1,,25.7,11,19.7
25,Taiwan Province of China,East Asia,6.45539999,0.039139576,6.532113552,0.153427124,6.378686428,10.77568531,0.894309103,69.59999847,0.77153033,-0.073198698,0.73188293,1.972316742,1.327470541,0.205637225,1.357760668,0.21032944,0.878437996,0.136078012,0.449404389,0.069616815,0.150598705,0.023329105,0.131516352,0.020373076,2.160238743,0.33464057,0.187922001,6.467005,0.848399,0.092696,1.690886,0.330178,,0.311723,0.402370453,0,3030,Landline and Mobile Telephone,1030,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,Chinese,Chinese,Chinese,0,,,,,,,,,,,,
26,Uruguay,Latin America and Caribbean,6.440100193,0.045419082,6.529121399,0.178042412,6.351078987,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,1.972316742,1.071000457,0.166301831,1.425081134,0.221282448,0.856928885,0.133061421,0.59426707,0.09227606,0.132143691,0.020518887,0.193425074,0.030034482,2.167276382,0.33652836,0.19495964,6.371715,0.87692,0.274946,2.217172,0.437542,0.427364,0.361706,0.236702442,0,3080,Face-to-Face (HH)*,1080,1000,1000,Face-to-Face (HH)*,Face-to-Face (HH)*,Face-to-Face (HH)*,,Spanish,Spanish,Spanish,0,,,,,,,,18.4,,8.1,19.8,20.7
27,Saudi Arabia,Middle East and North Africa,6.406499863,0.056533612,6.517305851,0.221611977,6.295693874,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,1.972316742,1.334328532,0.208277306,1.309950113,0.204472043,0.759818137,0.118601132,0.548477471,0.085612656,0.087440684,0.013648745,0.163322315,0.025493221,2.203118801,0.34388806,0.230802059,6.356393,0.764405,0.28838,2.324451,0.472084,,,-0.037445068,0,3050,Landline and Mobile Telephone,1045,1003,1002,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,"Arabic, English, Urdu ","Arabic, English, Urdu ","Arabic, English ",0,,,,Language,"Includes Saudis, Arab expatriates, and non-Arabs who were able to complete the interview in Arabic, English, or Urdu. ","Includes Saudis, Arab expatriates, and non-Arabs who were able to complete the interview in Arabic, English, or Urdu. ","Includes Saudis, Arab expatriates, and non-Arabs who were able to complete the interview in Arabic or English. ",3.2,,1.5,,23.3
28,Spain,Western Europe,6.400899887,0.04230037,6.483808517,0.16581726,6.317991257,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,1.972316742,1.230535269,0.192244105,1.421099186,0.222015531,1.051343083,0.164249262,0.425983816,0.066550614,0.16530548,0.02582535,0.109579779,0.017119433,1.997088432,0.3120012,0.02477169,6.513371,0.659188,0.357191,1.667077,0.359144,0.345385,0.285196,-0.061211109,0,3025,Landline and Mobile Telephone,1025,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,Spanish,Spanish,Spanish,0,,,,,,,,8.7,,0.7,15.3,19.2
29,Guatemala,Latin America and Caribbean,6.398900032,0.058398303,6.5133605,0.228920936,6.284439564,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457,1.972316742,0.753815711,0.117803952,1.174267054,0.183510767,0.705952585,0.110324053,0.613146722,0.095820644,0.170611665,0.026662655,0.0983603,0.015371439,2.882723093,0.45050291,0.910406351,6.626592,0.871362,0.262411,2.840461,0.634369,0.523667,0.457064,0.245809078,0,3100,Face-to-Face (HH)*,1100,1000,1000,Face-to-Face (HH)*,Face-to-Face (HH)*,Face-to-Face (HH)*,,Spanish,Spanish,Spanish,0,,,,,,,,2.7,,24.7,17.2,21.2
30,Italy,Western Europe,6.38740015,0.043288074,6.47224474,0.169689179,6.302555561,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,1.972316742,1.236396074,0.193567969,1.347296,0.210930264,1.022504926,0.160081551,0.321305573,0.050303029,0.170266211,0.026656575,0.040145598,0.006285123,2.249505997,0.35217866,0.277189255,6.516527,0.649023,0.402975,1.522745,0.457491,0.344,0.206626,0.187767506,0,3025,Landline and Mobile Telephone,1025,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,Italian,Italian,Italian,0,,,,,,,,8.2,,0.7,13.4,21.2
31,Singapore,Southeast Asia,6.377099991,0.033258967,6.442287445,0.130374908,6.311912537,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,1.972316742,1.519580126,0.238287016,1.39545691,0.218823119,1.137814283,0.178421898,0.635317206,0.099624784,0.218770906,0.034305704,0.533162236,0.083605751,0.937031746,0.14693697,-1.035284996,6.374564,0.787093,0.106871,1.577076,0.399788,,0.892469,-0.140033245,0,3040,Face-to-Face and Face- to-Face (HH)*,1040,1000,1000,Face-to-Face (HH)*,Face-to-Face (HH)*,Face-to-Face,Y,"English, Chinese ","English, Chinese ","English, Chinese, Bahasa Malay ",0.12,0.12,0.12,0.12,,Some condominiums were excluded due to restricted access. This exclusion represents no more than 12% of the population.,Some condominiums were excluded due to restricted access. This exclusion represents no more than 12% of the population.,Some condominiums were excluded due to restricted access. This exclusion represents no more than 12% of the population.,9.9,,0.3,12.6,14.6
32,Brazil,Latin America and Caribbean,6.375599861,0.040790688,6.455549717,0.159899712,6.295650005,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,1.972316742,0.952679873,0.14942592,1.363464117,0.213856601,0.766119063,0.120164232,0.483292729,0.075803491,0.131674588,0.020652894,0.106518604,0.016707229,2.571860313,0.40339111,0.599543571,6.190922,0.749728,0.349656,2.637867,0.420397,0.547286,0.168187,-0.472177506,0,5001,Face-to-Face (HH)*,3001,1000,1000,Face-to-Face (HH)*,Face-to-Face (HH)*,Face-to-Face (HH)*,,Portuguese,Portuguese,Portuguese,0.06666666667,0.1,0.1,0,,People living in indigenous lands and dangerous areas where the safety of interviewers was threatened were excluded. The excluded areas represent approximately 1% of the adult population.,People living in indigenous lands and dangerous areas where the safety of interviewers was threatened were excluded. The excluded areas represent approximately 1% of the adult population.,,6.5,,33.3,10.3,23.3
33,Slovenia,Central and Eastern Europe,6.363399982,0.043841314,6.449328899,0.171857833,6.277471066,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,1.972316742,1.208652496,0.189938162,1.464677691,0.230172187,0.932548046,0.146548708,0.646700144,0.101628083,0.145701498,0.0228968,0.076516323,0.01202444,1.888586521,0.29678891,-0.083730221,6.249419,0.643972,0.275485,1.946574,0.349004,0.2495,0.239275,0.336062431,0,3025,Landline and Mobile Telephone,1025,1000,1000,Landline and Mobile Telephone,Landline and Mobile Telephone,Landline and Mobile Telephone,,Slovene,Slovene,Slovene,0,,,,,,,,18.6,,1,13.6,30.5
34,El Salvador,Latin America and Caribbean,6.34829998,0.058248438,6.462466717,0.228333473,6.234133244,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,1.972316742,0.748940408,0.117974956,1.149397612,0.18105597,0.752730012,0.118571903,0.524043918,0.082548701,0.1189363,0.018735142,0.117030352,0.018434912,2.937191725,0.46267374,0.964874983,6.276246,0.871536,0.265371,2.516374,0.444247,0.457824,0.323992,0.454627514,0,3080,Face-to-Face (HH)*,1080,1000,1000,Face-to-Face (HH)*,Face-to-Face (HH)*,Face-to-Face (HH)*,,Spanish,Spanish,Spanish,0,,,,,,,,13.7,,82.3,19.2,18.7
35,Kosovo,Central and Eastern Europe,6.325200081,0.052216277,6.427544117,0.204688072,6.222856045,9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,0.922328293,1.972316742,0.840481341,0.132878222,1.183962822,0.187181877,0.672709167,0.106353816,0.557280421,0.088104789,0.325286865,0.051427127,0.008559024,0.001353163,2.736902714,0.4326982,0.764585972,6.391826,0.778271,0.170248,2.563801,0.402302,0.289909,0.347547,0.912786484,0,3088,Face-to-Face (HH)*,1088,1000,1000,Face-to-Face (HH)*,Face-to-Face (HH)*,Face-to-Face (HH)*,,"Albanian, Serbian ","Albanian, Serbian ","Albanian, Serbian ",0,,,,,,,,,,,,
36,Panama,Latin America and Caribbean,6.304800034,0.059724931,6.421860695,0.234121323,6.187739372,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,1.972316742,1.097667813,0.174100337,1.376149297,0.218270094,0.878546536,0.139345662,0.57984978,0.091969575,0.097207308,0.015417984,0.054230526,0.008601466,2.221176147,0.35229922,0.248859405,6.281434,0.883581,0.222599,2.532861,0.570102,0.532647,0.277478,-0.773819923,0,3080,Face-to-Face (HH)*,1080,1000,1000,Face-to-Face (HH)*,Face-to-Face (HH)*,Face-to-Face (HH)*,,Spanish,Spanish,Spanish,0,,,,,,,,4.3,,14.3,20.1,19.9
